"symbol","date","volume","volume_lag","adjusted_close"
"AAPL",2020-01-02,135.4804,NA,72.716064453125
"AAPL",2020-01-03,146.3228,135.4804,72.0091171264648
"AAPL",2020-01-06,118.3872,146.3228,72.5829086303711
"AAPL",2020-01-07,108.872,118.3872,72.2415313720703
"AAPL",2020-01-08,132.0792,108.872,73.4036331176758
"AAPL",2020-01-09,170.1084,132.0792,74.9627914428711
"AAPL",2020-01-10,140.6448,170.1084,75.1322631835938
"AAPL",2020-01-13,121.532,140.6448,76.7374114990234
"AAPL",2020-01-14,161.9544,121.532,75.7012176513672
"AAPL",2020-01-15,121.9236,161.9544,75.3768081665039
"AAPL",2020-01-16,108.8292,121.9236,76.3209915161133
"AAPL",2020-01-17,137.8164,108.8292,77.1659393310547
"AAPL",2020-01-21,110.8432,137.8164,76.6429977416992
"AAPL",2020-01-22,101.8324,110.8432,76.9165649414062
"AAPL",2020-01-23,104.472,101.8324,77.2870025634766
"AAPL",2020-01-24,146.5376,104.472,77.0642776489258
"AAPL",2020-01-27,161.94,146.5376,74.7981796264648
"AAPL",2020-01-28,162.234,161.94,76.9141693115234
"AAPL",2020-01-29,216.2292,162.234,78.5241470336914
"AAPL",2020-01-30,126.7432,216.2292,78.4103775024414
"AAPL",2020-01-31,199.5884,126.7432,74.9337463378906
"AAPL",2020-02-03,173.7884,199.5884,74.7279586791992
"AAPL",2020-02-04,136.6164,173.7884,77.1949920654297
"AAPL",2020-02-05,118.8268,136.6164,77.8244857788086
"AAPL",2020-02-06,105.4256,118.8268,78.7347793579102
"AAPL",2020-02-07,117.684,105.4256,77.6645660400391
"AAPL",2020-02-10,109.3488,117.684,78.0334396362305
"AAPL",2020-02-11,94.3232,109.3488,77.5626602172852
"AAPL",2020-02-12,113.7304,94.3232,79.4045639038086
"AAPL",2020-02-13,94.7476,113.7304,78.8391342163086
"AAPL",2020-02-14,80.1136,94.7476,78.8585433959961
"AAPL",2020-02-18,152.5312,80.1136,77.4146118164062
"AAPL",2020-02-19,93.984,152.5312,78.5357818603516
"AAPL",2020-02-20,100.566,93.984,77.7301177978516
"AAPL",2020-02-21,129.554,100.566,75.9706878662109
"AAPL",2020-02-24,222.1952,129.554,72.3620223999023
"AAPL",2020-02-25,230.6736,222.1952,69.9109725952148
"AAPL",2020-02-26,198.0548,230.6736,71.0200119018555
"AAPL",2020-02-27,320.6056,198.0548,66.3775787353516
"AAPL",2020-02-28,426.51,320.6056,66.3387298583984
"AAPL",2020-03-02,341.3972,426.51,72.5149154663086
"AAPL",2020-03-03,319.4756,341.3972,70.2118911743164
"AAPL",2020-03-04,219.1784,319.4756,73.4686431884766
"AAPL",2020-03-05,187.5728,219.1784,71.0855484008789
"AAPL",2020-03-06,226.1768,187.5728,70.1415100097656
"AAPL",2020-03-09,286.7448,226.1768,64.593879699707
"AAPL",2020-03-10,285.29,286.7448,69.2460403442383
"AAPL",2020-03-11,255.5988,285.29,66.8410873413086
"AAPL",2020-03-12,418.474,255.5988,60.2402153015137
"AAPL",2020-03-13,370.732,418.474,67.4574813842773
"AAPL",2020-03-16,322.4236,370.732,58.7792854309082
"AAPL",2020-03-17,324.056,322.4236,61.3638114929199
"AAPL",2020-03-18,300.2336,324.056,59.8616409301758
"AAPL",2020-03-19,271.8572,300.2336,59.4029693603516
"AAPL",2020-03-20,401.6932,271.8572,55.6317443847656
"AAPL",2020-03-23,336.7528,401.6932,54.4498863220215
"AAPL",2020-03-24,287.5312,336.7528,59.9125900268555
"AAPL",2020-03-25,303.602,287.5312,59.5825500488281
"AAPL",2020-03-26,252.0872,303.602,62.7179794311523
"AAPL",2020-03-27,204.2168,252.0872,60.1213073730469
"AAPL",2020-03-30,167.9764,204.2168,61.8370475769043
"AAPL",2020-03-31,197.002,167.9764,61.7108535766602
"AAPL",2020-04-01,176.2184,197.002,58.4638061523438
"AAPL",2020-04-02,165.934,176.2184,59.4393615722656
"AAPL",2020-04-03,129.88,165.934,58.5851440429688
"AAPL",2020-04-06,201.8204,129.88,63.6959609985352
"AAPL",2020-04-07,202.8872,201.8204,62.9582214355469
"AAPL",2020-04-08,168.8952,202.8872,64.5696105957031
"AAPL",2020-04-09,161.8348,168.8952,65.0355453491211
"AAPL",2020-04-13,131.0228,161.8348,66.3120574951172
"AAPL",2020-04-14,194.9948,131.0228,69.6609878540039
"AAPL",2020-04-15,131.1544,194.9948,69.0252075195312
"AAPL",2020-04-16,157.1252,131.1544,69.5736541748047
"AAPL",2020-04-17,215.25,157.1252,68.6296310424805
"AAPL",2020-04-20,130.0152,215.25,67.2051086425781
"AAPL",2020-04-21,180.9916,130.0152,65.1277618408203
"AAPL",2020-04-22,116.8624,180.9916,67.0036926269531
"AAPL",2020-04-23,124.8144,116.8624,66.744010925293
"AAPL",2020-04-24,126.1612,124.8144,68.6708831787109
"AAPL",2020-04-27,117.0876,126.1612,68.7194137573242
"AAPL",2020-04-28,112.0048,117.0876,67.6055145263672
"AAPL",2020-04-29,137.2808,112.0048,69.8260345458984
"AAPL",2020-04-30,183.064,137.2808,71.2990951538086
"AAPL",2020-05-01,240.6168,183.064,70.1512298583984
"AAPL",2020-05-04,133.568,240.6168,71.1437759399414
"AAPL",2020-05-05,147.7512,133.568,72.211555480957
"AAPL",2020-05-06,142.3336,147.7512,72.9565887451172
"AAPL",2020-05-07,115.2152,142.3336,73.7113342285156
"AAPL",2020-05-08,133.8384,115.2152,75.4657897949219
"AAPL",2020-05-11,145.9464,133.8384,76.6532516479492
"AAPL",2020-05-12,162.3012,145.9464,75.7772445678711
"AAPL",2020-05-13,200.6224,162.3012,74.8623123168945
"AAPL",2020-05-14,158.9292,200.6224,75.3222198486328
"AAPL",2020-05-15,166.3484,158.9292,74.8769073486328
"AAPL",2020-05-18,135.1784,166.3484,76.6410980224609
"AAPL",2020-05-19,101.7296,135.1784,76.1982421875
"AAPL",2020-05-20,111.5048,101.7296,77.6801452636719
"AAPL",2020-05-21,102.6888,111.5048,77.1009902954102
"AAPL",2020-05-22,81.8032,102.6888,77.5973968505859
"AAPL",2020-05-26,125.522,81.8032,77.0718078613281
"AAPL",2020-05-27,112.9452,125.522,77.4075927734375
"AAPL",2020-05-28,133.5608,112.9452,77.4416732788086
"AAPL",2020-05-29,153.5324,133.5608,77.3662261962891
"AAPL",2020-06-01,80.7912,153.5324,78.3176803588867
"AAPL",2020-06-02,87.6428,80.7912,78.6802368164062
"AAPL",2020-06-03,104.4912,87.6428,79.1133728027344
"AAPL",2020-06-04,87.5604,104.4912,78.4320526123047
"AAPL",2020-06-05,137.2504,87.5604,80.665885925293
"AAPL",2020-06-08,95.6544,137.2504,81.1428070068359
"AAPL",2020-06-09,147.7124,95.6544,83.7051391601562
"AAPL",2020-06-10,166.6516,147.7124,85.858642578125
"AAPL",2020-06-11,201.6624,166.6516,81.7365417480469
"AAPL",2020-06-12,200.146,201.6624,82.4422302246094
"AAPL",2020-06-15,138.8088,200.146,83.461799621582
"AAPL",2020-06-16,165.4288,138.8088,85.6737213134766
"AAPL",2020-06-17,114.4064,165.4288,85.5544967651367
"AAPL",2020-06-18,96.8204,114.4064,85.5885620117188
"AAPL",2020-06-19,264.476,96.8204,85.0994415283203
"AAPL",2020-06-22,135.4452,264.476,87.3259811401367
"AAPL",2020-06-23,212.1556,135.4452,89.1899032592773
"AAPL",2020-06-24,192.6232,212.1556,87.6155395507812
"AAPL",2020-06-25,137.5224,192.6232,88.7787094116211
"AAPL",2020-06-26,205.2568,137.5224,86.0508728027344
"AAPL",2020-06-29,130.646,205.2568,88.0340805053711
"AAPL",2020-06-30,140.2232,130.646,88.7689590454102
"AAPL",2020-07-01,110.7372,140.2232,88.6010513305664
"AAPL",2020-07-02,114.0416,110.7372,88.6010513305664
"AAPL",2020-07-06,118.6556,114.0416,90.9711380004883
"AAPL",2020-07-07,112.4244,118.6556,90.6888809204102
"AAPL",2020-07-08,117.092,112.4244,92.801025390625
"AAPL",2020-07-09,125.6428,117.092,93.2001266479492
"AAPL",2020-07-10,90.2572,125.6428,93.3631362915039
"AAPL",2020-07-13,191.6492,90.2572,92.9324340820312
"AAPL",2020-07-14,170.9892,191.6492,94.4703369140625
"AAPL",2020-07-15,153.198,170.9892,95.1200180053711
"AAPL",2020-07-16,110.5776,153.198,93.949592590332
"AAPL",2020-07-17,92.1868,110.5776,93.7597808837891
"AAPL",2020-07-20,90.318,92.1868,95.7356491088867
"AAPL",2020-07-21,103.4332,90.318,94.4143447875977
"AAPL",2020-07-22,89.0016,103.4332,94.6795654296875
"AAPL",2020-07-23,197.0044,89.0016,90.3701019287109
"AAPL",2020-07-24,185.4388,197.0044,90.146240234375
"AAPL",2020-07-27,121.214,185.4388,92.2827072143555
"AAPL",2020-07-28,103.6256,121.214,90.7667541503906
"AAPL",2020-07-29,90.3292,103.6256,92.5065994262695
"AAPL",2020-07-30,158.13,90.3292,93.6259307861328
"AAPL",2020-07-31,374.3368,158.13,103.427505493164
"AAPL",2020-08-03,308.1512,374.3368,106.033645629883
"AAPL",2020-08-04,173.0716,308.1512,106.741760253906
"AAPL",2020-08-05,121.7768,173.0716,107.12865447998
"AAPL",2020-08-06,202.4288,121.7768,110.86629486084
"AAPL",2020-08-07,198.0456,202.4288,108.345672607422
"AAPL",2020-08-10,212.4036,198.0456,109.920455932617
"AAPL",2020-08-11,187.9024,212.4036,106.651420593262
"AAPL",2020-08-12,165.598,187.9024,110.195892333984
"AAPL",2020-08-13,210.082,165.598,112.146110534668
"AAPL",2020-08-14,165.5652,210.082,112.046157836914
"AAPL",2020-08-17,119.5616,165.5652,111.753631591797
"AAPL",2020-08-18,105.6336,119.5616,112.684844970703
"AAPL",2020-08-19,145.538,105.6336,112.826240539551
"AAPL",2020-08-20,126.9072,145.538,115.329803466797
"AAPL",2020-08-21,338.0548,126.9072,121.273025512695
"AAPL",2020-08-24,345.9376,338.0548,122.723487854004
"AAPL",2020-08-25,211.4956,345.9376,121.716705322266
"AAPL",2020-08-26,163.0224,211.4956,123.371940612793
"AAPL",2020-08-27,155.5524,163.0224,121.897087097168
"AAPL",2020-08-28,187.63,155.5524,121.699638366699
"AAPL",2020-08-31,225.7027,187.63,125.826759338379
"AAPL",2020-09-01,151.9481,225.7027,130.838729858398
"AAPL",2020-09-02,200.119,151.9481,128.127990722656
"AAPL",2020-09-03,257.5996,200.119,117.869918823242
"AAPL",2020-09-04,332.6072,257.5996,117.947937011719
"AAPL",2020-09-08,231.3666,332.6072,110.010627746582
"AAPL",2020-09-09,176.9405,231.3666,114.398597717285
"AAPL",2020-09-10,182.2744,176.9405,110.663955688477
"AAPL",2020-09-11,180.8603,182.2744,109.211059570312
"AAPL",2020-09-14,140.1501,180.8603,112.487396240234
"AAPL",2020-09-15,184.642,140.1501,112.662910461426
"AAPL",2020-09-16,154.679,184.642,109.337821960449
"AAPL",2020-09-17,178.011,154.679,107.592414855957
"AAPL",2020-09-18,287.1049,178.011,104.179550170898
"AAPL",2020-09-21,195.7138,287.1049,107.338874816895
"AAPL",2020-09-22,183.0554,195.7138,109.025787353516
"AAPL",2020-09-23,150.7187,183.0554,104.452590942383
"AAPL",2020-09-24,167.7433,150.7187,105.525177001953
"AAPL",2020-09-25,149.9814,167.7433,109.484077453613
"AAPL",2020-09-28,137.6724,149.9814,112.097351074219
